"Date","Open","High","Low","Close"
"3/27/2019 20:00","137.87","137.87","136.5","137.8"
"3/27/2019 21:00","137.8","137.97","137.38","137.75"
"3/27/2019 22:00","137.75","137.94","137.74","137.94"
"3/27/2019 23:00","137.94","139.73","137.94","139.12"
"3/28/2019 0:00","139.12","139.12","138.04","138.46"
"3/28/2019 1:00","138.46","138.48","137.92","138.33"
"3/28/2019 2:00","138.33","138.51","138.07","138.51"
"3/28/2019 3:00","138.51","138.55","137.96","137.96"
"3/28/2019 4:00","137.96","137.96","137.33","137.52"
"3/28/2019 5:00","137.52","137.94","137.43","137.9"
"3/28/2019 6:00","137.9","137.94","137.62","137.66"
"3/28/2019 7:00","137.66","137.91","137.66","137.83"
"3/28/2019 8:00","137.83","137.83","137.4","137.63"
"3/28/2019 9:00","137.63","137.76","137.44","137.76"
"3/28/2019 10:00","137.76","137.83","137.36","137.46"
"3/28/2019 11:00","137.46","137.54","136.92","137.15"
"3/28/2019 12:00","137.15","137.21","137.04","137.05"
"3/28/2019 13:00","137.05","137.7","137.05","137.7"
"3/28/2019 14:00","137.7","137.91","137.505","137.88"
"3/28/2019 15:00","137.88","138.07","137.63","137.69"
"3/28/2019 16:00","137.69","137.75","137.2","137.22"
"3/28/2019 17:00","137.22","137.51","137.22","137.32"
"3/28/2019 18:00","137.32","137.63","137.3","137.45"
"3/28/2019 19:00","137.45","137.45","136.65","136.97"
"3/28/2019 20:00","136.97","136.99","136.76","136.93"
"3/28/2019 21:00","136.93","137.37","136.93","137.37"
"3/28/2019 22:00","137.37","137.37","137.16","137.2"
"3/28/2019 23:00","137.2","137.4","137.18","137.4"
"3/29/2019 0:00","137.4","138.45","137.33","137.86"
"3/29/2019 1:00","137.86","137.91","137.53","137.74"
"3/29/2019 2:00","137.74","138.13","137.6","138.13"
"3/29/2019 3:00","138.13","138.19","137.85","137.99"
"3/29/2019 4:00","137.99","138.26","137.44","137.44"
"3/29/2019 5:00","137.44","137.44","137.04","137.25"
"3/29/2019 6:00","137.25","137.36","137.12","137.31"
"3/29/2019 7:00","137.31","138.33","137.31","138.27"
"3/29/2019 8:00","138.27","138.27","137.89","138.24"
