Date,Open,High,Low,Close,Market Cap
7/8/2017,2493.79,2550.1,2461.46,2547.77,41132541363
7/9/2017,2547.77,2572.31,2501.02,2501.02,42007329729
7/10/2017,2501.02,2520.1,2252.57,2329.4,41421297233
7/11/2017,2329.4,2400,2251.07,2305.05,38730333528
7/12/2017,2305.05,2401.4,2242.87,2383.82,37945046671
7/13/2017,2383.82,2420,2315.61,2343.48,39256011350
7/14/2017,2343.48,2352.67,2142.22,2213.01,38404492702
7/15/2017,2213.01,2218.52,1965.13,1967.34,36307619790
7/16/2017,1967.34,2039,1800,1904,33204908288
7/17/2017,1904,2229.07,1897.35,2229.07,31435183985
7/18/2017,2229.07,2389.99,2145.65,2304.36,35975000498
7/19/2017,2304.36,2404.01,2222.88,2264.29,38246618708
7/20/2017,2264.29,2950.47,2264.28,2889.98,37294595686
7/21/2017,2889.98,2910,2609.89,2661.99,45383170901
7/22/2017,2661.99,2872.86,2650.01,2838.07,43724543850
7/23/2017,2838.07,2849.99,2668.05,2761.45,46489643152
7/24/2017,2761.45,2795,2715.2,2758.5,45400909076
7/25/2017,2758.5,2772.99,2450,2558.27,45379048575
7/26/2017,2558.27,2599.99,2401.01,2524.52,41788956522
7/27/2017,2524.52,2687.15,2514.15,2662.99,41396158518
7/28/2017,2662.99,2821.55,2652.21,2786.19,44256027340
7/29/2017,2786.19,2788.9,2648.75,2706.14,45902181593
7/30/2017,2706.14,2749.99,2600,2749.99,44860346564
7/31/2017,2749.99,2960,2703.15,2871.27,45224761129
8/1/2017,2871.27,2924.22,2641.42,2730,46792632049
8/2/2017,2730,2753.87,2650,2703.44,45156882498
8/3/2017,2703.44,2795.67,2703.44,2783.43,44657982592
8/4/2017,2783.43,2870.91,2760.68,2844.99,46127648298
8/5/2017,2844.99,3332.09,2840.16,3252.34,47207821700
8/6/2017,3252.34,3279.63,3147,3218.74,54058735328
8/7/2017,3218.74,3410.97,3180.15,3391.48,53562268492
8/8/2017,3391.48,3483.39,3345.97,3421.11,55989727423
8/9/2017,3421.11,3425.31,3237.14,3348.99,56395245954
8/10/2017,3348.99,3441.17,3318.16,3421.45,55328911176
8/11/2017,3421.45,3705.16,3420.29,3639.99,56538539824
8/12/2017,3639.99,3972.53,3594.31,3863.3,59966208986
8/13/2017,3863.3,4174.48,3843.72,4046.34,64236369865
8/14/2017,4046.34,4325,3961.65,4318.3,67237489606
